City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,bredasdorp,-34.5322,20.0403,290.74,84,0,2.76,ZA,1675467159
158,esperance,-33.8667,121.9,292.85,61,60,5.61,AU,1675467160
159,kaitangata,-46.2817,169.8464,296.75,62,12,3.44,NZ,1675467160
160,talas,38.6908,35.5538,268.52,80,75,1.03,TR,1675467161
161,beira,-19.8436,34.8389,299.2,89,20,2.57,MZ,1675467161
162,bowen,-20.0167,148.2333,300.81,79,100,3.03,AU,1675467161
163,diamantino,-14.4086,-56.4461,296.89,89,100,1.38,BR,1675467162
164,griffith,41.5284,-87.4237,263.2,46,100,0.0,US,1675467162
165,sisimiut,66.9395,-53.6735,255.9,98,100,5.18,GL,1675467162
166,grants,35.1473,-107.8514,283.28,17,0,4.63,US,1675467163
167,jardim,-21.4803,-56.1381,294.96,98,97,1.03,BR,1675467163
168,nong ki,14.6868,102.538,298.44,75,63,2.27,TH,1675467164
169,auki,-8.7676,160.7034,301.51,78,49,1.73,SB,1675467164
170,ixtapa,20.7,-105.2,298.28,78,0,4.12,MX,1675467165
171,longyearbyen,78.2186,15.6401,257.06,78,0,4.63,SJ,1675467165
172,paamiut,61.994,-49.6678,262.16,91,100,2.36,GL,1675467166
173,anda,46.4,125.3167,253.61,95,15,2.51,CN,1675467166
174,chuy,-33.6971,-53.4616,293.41,85,87,4.7,UY,1675467166
175,tautira,-17.7333,-149.15,300.35,80,100,8.53,PF,1675466919
176,siderno,38.2779,16.302,282.78,77,10,5.88,IT,1675467167
177,nanortalik,60.1432,-45.2371,264.51,76,100,10.97,GL,1675467167
178,sechura,-5.5569,-80.8222,298.72,64,57,6.47,PE,1675467168
179,seymchan,62.8833,152.4333,243.98,96,100,1.05,RU,1675467168
180,inhambane,-23.865,35.3833,297.64,89,20,3.76,MZ,1675467169
181,necochea,-38.5473,-58.7368,290.34,79,0,4.2,AR,1675467169
182,nanga eboko,4.6833,12.3667,294.09,55,46,1.06,CM,1675467170
183,marawi,7.9986,124.2928,293.95,76,71,0.48,PH,1675467170
184,rotherham,53.4301,-1.3568,282.28,87,46,2.41,GB,1675467171
185,pacific grove,36.6177,-121.9166,287.78,81,100,4.92,US,1675467171
186,tsevie,6.4261,1.2133,300.64,72,18,3.18,TG,1675467171
